Index,Speaker,Section,Scene,Category,Character,text,pred,label,score,anger,disgust,fear,joy,neutral,sadness,surprise
124,MATT,Part One,1,Narration,,"Rumors of military clashes at the eastern border near Xhorhas have many common folk on edge. Our story, however, begins much smaller. Here in the southern reaches of the Marrow Valley, beyond the entry gates of the Wuyun Gorge, lies the small rural town of Trostenwald. Bordering the blue waters of the Ustaloch, this town came to prominence near the turn of this recent century, when the surrounding fertile farmlands were discovered to produce a unique type of grain and wheat, leading to a boom of breweries. When the glut subsided, three large families stood triumphant in the local business of fermented delights. Now Trostenwald thrives on their exports of fish, crops, and ale. Here in this sleepy trade stop along the Amber Road, a handful of wandering destinies slowly begin to intersect. ",4,neutral,0.8638376,0.015934706,0.018914355,0.080982774,0.0054157237,0.8638376,0.0036328167,0.011282033
125,MATT,Part One,1,Narration,,"We begin in the early hours of the morning on the day of Grissen in a messy room on the second floor of the Nestled Nook Inn. A bleary-eyed, bruised man in a tattered coat slowly wakens from his lengthy sleep, catching his small, snoring ally curled at the foot of the bed. Liam, if you would like to describe your character, please. ",5,sadness,0.64837044,0.0044493643,0.22756143,0.038048875,0.002564706,0.073659666,0.64837044,0.005345463
126,MATT,Part One,1,Sounds,,(nervous laughter) ,2,fear,0.9421104,0.0038322175,0.0020468247,0.9421104,0.039833844,0.0069879163,0.0017801388,0.003408747
127,LAURA,Part One,1,Out of Game,,"Oh my god, no pressure! ",6,surprise,0.6310875,0.14905913,0.10754935,0.07433848,0.0066342405,0.01153731,0.019794047,0.6310875
128,SAM,Part One,1,Out of Game,,Were we supposed to prepare this? ,2,fear,0.42977613,0.095683254,0.073348306,0.42977613,0.003352011,0.27725157,0.012769674,0.1078191
129,LIAM,Part One,1,Narration,,"I'm pretty filthy. I have a mess of reddish-brown hair, and really filthy road clothes. I wear a long coat that I slept in. I slept about 20 hours last night. Jeez. Unshaven, a bit of a mess. ",1,disgust,0.9625609,0.0072896583,0.9625609,0.005061105,0.0004892193,0.011704574,0.010755272,0.002139285
130,SAM,Part One,1,Out of Game,,So far you're just talking about current Liam. ,4,neutral,0.92441505,0.0169184,0.03512603,0.008847907,0.0014643542,0.92441505,0.0038842226,0.009344077
131,LAURA,Part One,1,Out of Game,,What color are your eyes? I need visual. ,4,neutral,0.90994465,0.019362379,0.022457724,0.017139757,0.0016751912,0.90994465,0.00420148,0.025218893
132,LIAM,Part One,1,Narration,,"They're blue. That's it. It was a rough day yesterday, and-- that's it. ",4,neutral,0.32115895,0.04128102,0.21875484,0.19431628,0.0062909536,0.32115895,0.20876575,0.009432203
133,MATT,Part One,1,Narration,,And your name is? ,4,neutral,0.61381537,0.040484987,0.015092618,0.1663509,0.005202757,0.61381537,0.006268246,0.15278514
