Index,Speaker,Section,Scene,Category,Character,text,pred,label,score,anger,disgust,fear,joy,neutral,sadness,surprise
142,SAM,Part One,1,Dialogue,NOTT,"Oh! You're finally awake, I see.",6,surprise,0.8771235,0.029428462,0.018477196,0.00412561,0.034323078,0.031333335,0.005188835,0.8771235
144,SAM,Part One,1,Dialogue,NOTT,"You were out for quite some time, there. Rough day, eh?",4,neutral,0.8027432,0.0102141965,0.079111226,0.06054894,0.007528251,0.8027432,0.030531088,0.0093230875
145,LIAM,Part One,1,Dialogue,CALEB,"Not our best day, no. ",5,sadness,0.58124644,0.031539764,0.07921314,0.25943676,0.0038397529,0.041201785,0.58124644,0.003522324
146,SAM,Part One,1,Dialogue,NOTT,"No, I mean, usually you're so good at everything, but yesterday you were just-- maybe you needed the sleep, is what you needed. ",4,neutral,0.7753555,0.035300493,0.11725246,0.037986062,0.008864873,0.7753555,0.015267614,0.009973018
147,LIAM,Part One,1,Dialogue,CALEB,Thank you. ,4,neutral,0.6749895,0.029116739,0.015293459,0.015140659,0.23756412,0.6749895,0.009810394,0.018085139
147,LIAM,Part One,1,Dialogue,CALEB,Thank you. ,4,neutral,0.6749896,0.02911674,0.01529346,0.015140661,0.23756407,0.6749896,0.009810395,0.018085139
148,SAM,Part One,1,Dialogue,NOTT,"Well, don't thank me yet. I should probably tell you what happened while you were asleep. I mean, you were asleep for so long. I got bored, frankly. I was going through my pack and reorganizing. ",4,neutral,0.683183,0.055836763,0.1714653,0.04045233,0.007668679,0.683183,0.030379696,0.011014154
149,LIAM,Part One,1,Dialogue,CALEB,Has anybody seen you-- seen you seen you? ,2,fear,0.3825114,0.068573385,0.046770383,0.3825114,0.00889899,0.2687786,0.012428084,0.21203913
150,SAM,Part One,1,Dialogue,NOTT,"Well, I mean, many people? I got bored. ",4,neutral,0.45341474,0.06388247,0.3497039,0.041434314,0.0073228315,0.45341474,0.033343628,0.05089816
151,SAM,Part One,1,Dialogue,NOTT,"You've never slept that long, so I left, I went downstairs, I thought I'd do a bit of window-shopping, and you know how sometimes I get the itch, you know? ",2,fear,0.40452954,0.034139328,0.11684414,0.40452954,0.005176532,0.36033285,0.017942853,0.06103469
152,LIAM,Part One,1,Dialogue,CALEB,"I do. Did you make it back here okay, at night? ",4,neutral,0.43191522,0.081624344,0.047359325,0.3669708,0.0060481085,0.43191522,0.038325824,0.027756356
153,SAM,Part One,1,Dialogue,NOTT,"I'm here, aren't I? ",2,fear,0.6400208,0.08318255,0.033442024,0.6400208,0.0050408146,0.05818743,0.013666421,0.16646
154,LIAM,Part One,1,Dialogue,CALEB,"Yeah, you are. ",4,neutral,0.75405353,0.061612055,0.14067243,0.020269306,0.009339704,0.75405353,0.010816894,0.003236057
155,SAM,Part One,1,Dialogue,NOTT,"Yeah, I did. But I might have been spotted by a few of the Crown's Guard. ",4,neutral,0.9058223,0.0096885655,0.0235855,0.030634971,0.00358141,0.9058223,0.007546999,0.019140296
156,LIAM,Part One,1,Dialogue,CALEB,Did you have the mask on? ,6,surprise,0.4315699,0.052194815,0.08058774,0.08666962,0.0027810403,0.33697045,0.009226442,0.4315699
157,SAM,Part One,1,Dialogue,NOTT,"No? No, I didn't. But they didn't catch me, so. Listen, I'm sorry, sometimes I get the urge, I've got to take something, you know? I was trying to replentish what you lost yesterday, and I failed. ",2,fear,0.29371086,0.08248977,0.1869061,0.29371086,0.0034420819,0.26261708,0.1502245,0.020609567
158,LIAM,Part One,1,Dialogue,CALEB,"Well, we-- (sighs)-- discussed coming to a bigger town. It's going to be a little more difficult now. You can't go-- it was easier on outskirts, it was easier in farms, but we can't do that here. ",4,neutral,0.34449878,0.03320832,0.3100569,0.15336758,0.008219173,0.34449878,0.13759026,0.013059025
159,SAM,Part One,1,Dialogue,NOTT,"I know, I'm sorry. Yeah. I know. You're right. Yep. I just got a little bit squiggly. ",1,disgust,0.31224713,0.021476101,0.31224713,0.15214942,0.010480905,0.27947077,0.19389634,0.030279335
160,SAM,Part One,1,Dialogue,NOTT,That's all. ,4,neutral,0.8962279,0.02565567,0.052416682,0.010109661,0.0060197082,0.8962279,0.0046364577,0.004933928
161,LIAM,Part One,1,Dialogue,CALEB,"Okay. Well, I think today you should have the mask on at all times. ",4,neutral,0.82574636,0.027919302,0.07053569,0.053942636,0.006486764,0.82574636,0.012902983,0.0024662311
162,SAM,Part One,1,Dialogue,NOTT,"Yeah, good idea, Caleb. ",3,joy,0.5301097,0.043879196,0.13176061,0.013375795,0.5301097,0.2709621,0.006199119,0.0037134364
163,LIAM,Part One,1,Dialogue,CALEB,"It's better when we're working together. If you need to steal something, do it with my help, all right? ",4,neutral,0.3371336,0.30978125,0.11149127,0.21294448,0.01213171,0.3371336,0.014683362,0.0018343036
164,SAM,Part One,1,Dialogue,NOTT,"Yeah, yeah, of course. Yeah. ",4,neutral,0.50951487,0.07998584,0.2700345,0.08683018,0.017028408,0.50951487,0.03474323,0.0018629815
165,LIAM,Part One,1,Dialogue,CALEB,Back up the conversation a minute. Thank you. I would not be alive if you had not-- you saved my life. So thank you. ,4,neutral,0.586785,0.030822229,0.010918241,0.027246716,0.31752017,0.586785,0.010013727,0.016693892
166,SAM,Part One,1,Dialogue,NOTT,"Ah, no problem. ",4,neutral,0.24733056,0.24118511,0.22531357,0.22475646,0.007966251,0.24733056,0.051442403,0.002005629
167,LIAM,Part One,1,Dialogue,CALEB,Yesterday was really not great. ,2,fear,0.62827724,0.020935753,0.024845975,0.62827724,0.0050823884,0.031114174,0.2834495,0.006294996
168,SAM,Part One,1,Dialogue,NOTT,"Yeah, well, we'll do better today, right? ",4,neutral,0.6102138,0.089458294,0.1770082,0.08166849,0.009139443,0.6102138,0.030825647,0.0016860748
169,LIAM,Part One,1,Dialogue,CALEB,Sure. Sure we will. Are you hungry? ,4,neutral,0.5911248,0.090443544,0.13707526,0.08311267,0.008341729,0.5911248,0.05161032,0.03829175
170,SAM,Part One,1,Dialogue,NOTT,"Yeah, I'm starving. ",5,sadness,0.4241915,0.04612248,0.27950436,0.08749979,0.0042166086,0.15462388,0.4241915,0.0038414209
172,LIAM,Part One,1,Dialogue,CALEB,"Well, Nott, what are we going to do today? I can go down and get breakfast and bring it up here. At least-- I don't know. I mean, I'm a little wary of just splashing back into the town right away. ",2,fear,0.84298927,0.00975933,0.015368679,0.84298927,0.002758644,0.11493534,0.007831338,0.006357421
173,SAM,Part One,1,Dialogue,NOTT,"Let's go down, get some food. I'll come with you, 'cause as you said, we're better together. ",4,neutral,0.69999737,0.07603627,0.09618654,0.071749136,0.03586875,0.69999737,0.017638909,0.0025229724
174,SAM,Part One,1,Dialogue,NOTT,"And we'll take it from there. You need some books and stuff, right? ",4,neutral,0.9301018,0.022210483,0.023476377,0.011516317,0.0054205563,0.9301018,0.0033349744,0.003939476
175,LIAM,Part One,1,Dialogue,CALEB,Always. ,4,neutral,0.7698433,0.052258797,0.032083802,0.11070572,0.009896031,0.7698433,0.02309813,0.0021142776
